# ID    X       Y       F814    F606-F814 dx     dy
231	0438.5	3393.0	20.70	1.307	0.44	-0.04
232	0439.9	3930.0	18.33	0.889	0.05	-0.14
233	0440.0	2236.0	21.41	1.381	-0.06	-0.27
234	0441.1	3407.0	20.39	1.276	-0.12	0.00
235	0441.9	2126.0	20.29	1.291	0.10	0.22
236	0443.0	1768.0	19.78	1.176	-0.02	0.14
237	0443.3	2030.0	21.46	1.420	0.04	0.18
238	0443.6	3319.0	22.81	1.707	-0.11	-0.06
239	0444.8	2896.0	26.39	0.952	0.21	-0.13
240	0444.8	3667.0	23.15	1.849	0.07	-0.15
241	0447.2	1511.0	20.88	1.336	-0.23	0.09
242	0448.1	1045.0	20.16	1.247	-0.10	0.05
243	0450.3	3703.0	22.07	1.478	0.22	0.06
244	0450.5	1062.0	17.65	0.786	0.52	0.03
245	0450.9	2466.0	19.75	1.172	0.05	0.21
246	0451.9	3277.0	25.42	0.656	0.17	-0.08
247	0451.9	3496.0	20.74	1.303	0.05	0.28
248	0452.8	1326.0	17.62	0.776	0.20	0.04
249	0453.8	1571.0	17.73	0.796	0.06	-0.19
250	0454.7	3542.0	22.39	1.578	0.30	-0.15
251	0455.5	1022.0	22.40	1.594	0.47	-0.18
252	0455.7	3028.0	26.39	0.970	0.18	-0.68
253	0456.3	3440.0	23.00	1.789	-0.13	0.22
254	0458.4	3181.0	21.56	1.416	0.35	0.11
255	0458.5	1735.0	21.08	1.347	0.17	-0.25
256	0458.6	2922.0	26.67	1.133	0.10	-0.34
257	0461.8	2808.0	17.57	0.762	0.18	-0.16
258	0463.1	3091.0	27.48	0.935	0.13	-0.33
259	0464.4	3356.0	20.44	1.276	0.15	0.25
260	0466.2	2280.0	21.70	1.422	-0.05	0.15
261	0466.8	1854.0	20.13	1.236	0.15	-0.32
262	0467.3	1813.0	19.91	1.201	0.11	0.02
263	0470.5	2234.0	19.64	1.148	0.24	-0.07
264	0470.6	3310.0	26.17	1.024	-0.05	0.58
265	0470.7	1698.0	18.02	0.843	0.32	0.10
266	0472.2	2005.0	22.02	1.502	-0.05	0.04
267	0474.1	2561.0	18.58	0.948	0.03	0.29
268	0476.0	2640.0	26.54	1.049	0.49	-0.23
269	0477.8	3922.0	19.85	1.192	0.18	-0.34
270	0481.5	3428.0	19.78	1.187	0.11	0.11
271	0481.6	1288.0	25.65	3.504	0.13	0.25
272	0481.6	1956.0	18.18	0.862	0.10	0.09
273	0482.3	2879.0	27.00	0.728	-1.02	0.08
274	0483.3	2224.0	25.75	0.757	-0.09	0.23
275	0483.3	3328.0	19.83	1.195	0.27	0.25
276	0485.0	3551.0	16.84	0.670	-0.18	0.16
277	0486.7	2480.0	20.38	1.264	0.33	0.06
278	0490.2	2811.0	17.51	0.758	-0.03	0.01
279	0490.8	3512.0	19.88	1.200	0.19	-0.18
280	0491.8	3091.0	22.10	1.525	0.19	0.26
281	0491.9	2977.0	18.46	0.945	0.07	0.04
282	0493.4	2098.0	18.18	0.083	0.22	-0.28
283	0494.4	3421.0	26.28	0.928	-0.23	-0.05
284	0496.0	2377.0	20.35	1.260	0.01	-0.02
285	0500.1	3762.0	20.40	1.281	-0.14	-0.04
286	0500.4	1094.0	24.03	2.437	-0.41	0.00
287	0502.1	1617.0	15.69	0.616	0.00	-0.32
288	0502.7	3200.0	21.32	1.392	0.25	-0.04
289	0505.6	3721.0	17.64	0.772	0.12	0.12
290	0508.5	2659.0	18.78	0.968	0.49	0.12
291	0508.8	2618.0	20.73	1.302	0.17	-0.25
292	0509.7	2716.0	19.44	1.121	0.07	-0.31
293	0509.9	3256.0	16.67	0.678	0.09	0.22
294	0511.0	2764.0	16.72	0.669	0.04	-0.36
295	0511.8	1856.0	20.19	1.231	0.20	-0.20
296	0512.6	2490.0	23.69	2.211	0.33	-0.35
297	0512.6	3353.0	21.54	1.411	-0.08	-0.02
298	0514.1	2974.0	17.57	0.775	-0.11	-0.26
299	0514.2	3579.0	26.00	0.883	0.40	0.06
300	0517.4	1872.0	22.46	1.603	-0.01	0.14
301	0518.9	3276.0	18.48	0.921	0.10	0.00
302	0519.3	2693.0	19.73	1.175	0.16	-0.33
303	0520.8	3122.0	18.73	0.965	0.22	-0.06
304	0521.7	1698.0	18.60	0.962	0.31	0.09
305	0522.0	3076.0	18.88	1.010	-0.05	-0.20
306	0523.3	1647.0	15.96	0.639	0.30	-0.05
307	0523.5	2957.0	23.65	2.193	0.22	-0.13
308	0523.5	3448.0	17.86	0.816	0.40	-0.34
309	0524.0	2609.0	19.21	1.077	0.05	-0.22
310	0525.0	3945.0	21.67	1.429	0.02	-0.19
311	0525.5	3883.0	20.53	1.279	-0.09	-0.01
312	0528.8	4000.0	18.30	0.870	-0.26	-0.40
313	0529.3	1657.0	18.10	0.856	-0.31	0.14
314	0530.1	3589.0	20.17	1.242	-0.04	0.32
315	0530.5	3164.0	16.97	0.699	-0.17	-0.10
316	0531.6	2007.0	22.51	1.629	0.35	0.14
317	0532.7	3216.0	26.80	1.343	-0.20	-0.17
318	0533.9	2238.0	17.76	0.792	0.08	-0.17
319	0534.2	3487.0	21.70	1.437	-0.13	0.10
320	0534.4	1039.0	20.97	1.327	-0.44	-0.15
321	0534.6	3789.0	16.70	0.676	-0.03	-0.14
322	0535.0	3474.0	18.19	0.881	-0.03	-0.04
323	0535.6	2766.0	17.45	0.753	0.22	-0.14
324	0536.2	2786.0	22.34	1.553	-0.02	-0.27
325	0536.9	1607.0	22.91	1.739	0.08	0.03
326	0537.7	2390.0	26.51	1.025	-1.06	-0.19
327	0538.1	3622.0	21.42	1.396	-0.09	0.39
328	0538.3	3178.0	19.26	1.098	-0.11	-0.25
329	0547.2	2293.0	20.44	1.335	0.21	0.08
330	0548.5	2698.0	25.69	0.602	0.37	0.29
331	0549.0	3381.0	21.11	1.362	0.01	-0.09
332	0550.2	2667.0	20.43	1.270	-0.24	-0.14
333	0552.1	3040.0	12.72	0.833	0.07	-0.24
334	0554.3	2459.0	15.61	0.605	-0.12	-0.37
335	0555.7	3613.0	19.98	1.214	-0.27	0.32
336	0560.3	2423.0	20.42	1.272	0.07	0.16
337	0560.4	3993.0	20.64	1.297	-0.37	-0.20
338	0561.5	2354.0	20.39	1.256	0.19	0.10
339	0561.6	2170.0	17.66	0.776	0.18	-0.14
340	0561.9	3467.0	23.82	2.235	0.00	-0.12
341	0562.5	2294.0	17.72	0.791	0.35	0.14
342	0563.7	2023.0	19.89	1.194	0.29	0.03
343	0564.1	1528.0	20.61	1.291	-0.14	0.12
344	0564.5	1115.0	19.70	1.164	-0.18	0.29
345	0566.5	3607.0	22.35	1.571	-0.20	0.47
